INDV	N_COMMON_CALLED	N_DISCORD	DISCORDANCE
PI_328015	2366	1035	0.437447
CIho_5989	2434	1055	0.433443
PI_640220	2150	893	0.415349
PI_294747	2176	827	0.380055
PI_412946	2163	799	0.369394
PI_392491	2135	775	0.362998
PI_436149	2127	670	0.314998
PI_223883	2411	400	0.165906
PI_327716	1538	131	0.0851756
PI_564487	1581	86	0.054396
PI_356719	2253	114	0.0505992
PI_402164	2325	115	0.0494624
PI_422233	1577	78	0.049461
PI_467851	1202	59	0.0490849
PI_599637	2372	114	0.0480607
26_PI_599621	2298	110	0.0478677
PI_531917	2173	103	0.0473999
PI_599621	2201	104	0.0472512
PI_321854	2331	110	0.04719
PI_506295	2384	112	0.0469799
PI_342331	2263	106	0.0468405
PI_404205	2285	107	0.0468271
PI_640095	2301	107	0.0465015
PI_599625	1426	66	0.0462833
PI_486152	1415	65	0.0459364
PI_274620	2358	108	0.0458015
PI_350713	2271	104	0.0457948
PI_321823	2395	109	0.0455115
PI_584786	2154	98	0.0454968
PI_640286	2114	96	0.0454115
PI_434794	2316	105	0.0453368
PI_346387	2230	101	0.0452915
PI_591928	2303	104	0.0451585
PI_467412	1934	87	0.0449845
PI_531986	1668	75	0.044964
PI_573878	1429	64	0.0447866
PI_414409	2046	91	0.044477
PI_190200	2478	110	0.0443906
PI_320227	2258	100	0.044287
PI_361038	2358	104	0.0441052
PI_234846	2313	102	0.0440986
PI_184884	2453	108	0.0440277
PI_189764	2456	108	0.0439739
PI_347750	2344	103	0.043942
PI_392524	1844	81	0.0439262
PI_374429	2345	103	0.0439232
PI_447054	1435	63	0.0439024
PI_402037	1482	65	0.0438596
PI_573611	2244	98	0.043672
PI_467849	1879	82	0.0436402
PI_290259	2339	102	0.0436084
PI_95167	2363	103	0.0435887
PI_573615	2410	105	0.0435685
PI_436136	2365	103	0.0435518
PI_320217	2277	99	0.0434783
PI_415348	2330	101	0.0433476
PI_640226	1940	84	0.043299
PI_290193	2383	103	0.0432228
PI_531896	2318	100	0.0431406
PI_365547	2179	94	0.0431391
PI_384986	2227	96	0.0431073
PI_392423	2367	102	0.0430925
PI_342139	2253	97	0.0430537
PI_296472	2349	101	0.042997
PI_342283	2374	102	0.0429655
PI_592250	1918	82	0.0427529
