0%	0
1%	2
2%	3
3%	3
4%	4
5%	5
6%	5
7%	5
8%	6
9%	6
10%	7
11%	7
12%	7
13%	8
14%	8
15%	8
16%	8
17%	9
18%	9
19%	9
20%	10
21%	10
22%	10
23%	10
24%	11
25%	11
26%	11
27%	12
28%	12
29%	12
30%	12
31%	13
32%	13
33%	13
34%	14
35%	14
36%	14
37%	15
38%	15
39%	15
40%	16
41%	16
42%	16
43%	17
44%	17
45%	17
46%	18
47%	18
48%	18
49%	19
50%	19
51%	20
52%	20
53%	20
54%	21
55%	21
56%	21
57%	22
58%	22
59%	23
60%	23
61%	24
62%	24
63%	25
64%	26
65%	26
66%	27
67%	28
68%	28
69%	29
70%	30
71%	31
72%	31
73%	32
74%	33
75%	34
76%	34
77%	35
78%	35
79%	36
80%	36
81%	37
82%	37
83%	38
84%	38
85%	39
86%	40
87%	41
88%	42
89%	43
90%	45
91%	47
92%	50
93%	54
94%	59
95%	65
96%	73
97%	85
98%	104
99%	143
100%	3889
