0%	0
1%	0
2%	0
3%	0
4%	3
5%	3
6%	3
7%	3
8%	3
9%	3
10%	3
11%	3
12%	6
13%	6
14%	6
15%	6
16%	6
17%	6
18%	6
19%	6
20%	9
21%	9
22%	9
23%	9
24%	9
25%	9
26%	9
27%	9
28%	12
29%	12
30%	12
31%	12
32%	12
33%	12
34%	13
35%	15
36%	15
37%	15
38%	15
39%	15
40%	17
41%	18
42%	18
43%	18
44%	18
45%	18
46%	21
47%	21
48%	21
49%	21
50%	24
51%	24
52%	24
53%	24
54%	27
55%	27
56%	27
57%	27
58%	30
59%	30
60%	30
61%	33
62%	33
63%	33
64%	36
65%	36
66%	36
67%	39
68%	39
69%	42
70%	42
71%	45
72%	45
73%	48
74%	51
75%	51
76%	54
77%	57
78%	59
79%	60
80%	60
81%	63
82%	69
83%	72
84%	75
85%	81
86%	84
87%	90
88%	96
89%	99
90%	99
91%	99
92%	99
93%	99
94%	99
95%	99
96%	99
97%	99
98%	99
99%	99
100%	99
