Sample name	Min	1st Q	Mode	Median	Mean	3rd Q	Max
PI_039590	0	3	3	7	10.9686	14	1881
CIho_015362	0	3	3	7	12.1028	15	2115
CIho_014216	0	3	3	7	11.6513	14	1340
CIho_013743	0	3	3	8	12.5999	15	789
CIho_014052	0	4	4	9	14.5656	18	2629
CIho_015600	0	4	4	9	15.0626	19	1748
CIho_014258	0	4	3	9	15.9481	19	1437
CIho_014228	0	4	3	9	15.5173	19	1351
CIho_014319	0	4	3	9	16.0805	19	1833
CIho_015349	0	4	3	9	15.6004	19	2891
CIho_016612	0	4	3	10	16.5036	20	1667
CIho_014881	0	4	3	9	16.7627	20	3504
26_PI_599621	0	5	5	11	18.488	22	3126
CIho_014752	0	8	6	17	29.0489	35	4870
CIho_014394	0	8	7	17	28.7025	35	3933
CIho_005989	0	9	8	20	32.7652	39	2521
PI_087844	0	3	3	7	10.9084	13	1317
PI_094875	0	3	3	6	9.69481	12	1776
PI_069421	0	3	2	7	12.2357	15	936
PI_094790	0	4	3	8	13.1347	16	928
PI_064022	0	4	3	9	15.5088	19	1823
PI_071075	0	4	3	9	16.2848	20	1842
PI_057099	0	4	3	9	16.2929	19	2774
PI_095167	0	4	3	9	16.0897	19	1309
PI_048133	0	7	6	16	27.8127	33	3922
PI_163409	0	3	3	6	10.2252	13	857
PI_061533	0	7	6	16	27.9316	33	5086
PI_057089	0	7	6	17	28.7326	34	2340
PI_054915	0	8	7	18	30.4239	36	4049
PI_057015	0	8	7	18	30.9808	37	10580
PI_174431	0	3	2	6	8.76033	11	746
PI_119925	0	4	3	9	15.2942	18	2633
PI_173518	0	4	3	8	12.5063	15	952
PI_129482	0	4	3	9	15.324	18	1934
PI_157884	0	4	3	9	15.3501	18	1337
PI_135758	0	4	3	9	15.5645	19	1519
PI_178609	0	4	3	9	15.567	19	1304
PI_181102	0	4	3	9	15.1695	18	2711
PI_268176	0	3	3	6	9.31808	12	718
PI_268158	0	4	3	8	12.3624	15	851
PI_264251	0	4	4	9	14.0599	17	1663
PI_190790	0	4	3	9	15.7475	19	1653
PI_227449	0	4	3	10	17.0164	20	1902
PI_234846	0	4	3	9	15.4267	19	3008
PI_190203	0	5	5	11	19.0704	23	3194
PI_270692	0	4	3	9	15.1756	18	3011
PI_189764	0	8	7	17	29.5935	35	3310
PI_274620	0	4	3	9	15.3615	18	2024
PI_190200	0	8	7	18	29.7887	36	3251
PI_184884	0	9	8	19	31.5281	38	3307
PI_223883	0	7	6	17	28.8649	35	3023
PI_283401	0	4	3	9	15.2698	18	2520
PI_282616	0	4	3	9	15.8983	19	1613
PI_190711	0	8	7	18	30.5191	37	2270
PI_283416	0	3	2	8	13.7673	17	1098
PI_283464	0	4	3	8	13.0886	16	1427
PI_285636	0	3	3	7	10.2905	13	639
PI_285118	0	3	3	8	12.1128	15	894
PI_286388	0	4	3	9	14.8784	18	1243
PI_290165	0	4	3	9	15.2275	18	1294
PI_290193	0	4	3	9	16.3282	19	2162
PI_290259	0	4	3	8	14.1867	17	1463
PI_294743	0	4	3	8	13.6243	17	1465
PI_320227	0	3	3	7	11.3616	14	1959
PI_320217	0	4	3	8	13.0104	16	3082
PI_298708	0	4	3	9	15.4249	18	1550
PI_296472	0	5	4	10	17.7394	21	3601
PI_321854	0	4	3	9	15.4057	18	1340
PI_327859	0	4	3	9	15.1631	18	1134
PI_327969	0	4	3	9	15.8069	19	1757
PI_321823	0	5	4	11	18.9564	23	2148
PI_328052	0	3	3	6	9.79	12	979
PI_328336	0	3	3	7	10.4897	13	1621
PI_328155	0	4	3	8	12.4852	15	1166
PI_296460	0	8	7	18	30.9401	37	2677
PI_328485	0	4	3	9	15.0878	18	2337
PI_327680	0	7	6	16	26.7941	32	1685
PI_328015	0	4	3	10	17.0924	20	2350
PI_327716	0	7	6	16	27.0589	33	1615
PI_328577	0	4	3	9	15.3007	19	3471
PI_328632	0	3	3	8	14.2047	17	1039
PI_328742	0	4	3	9	16.2173	19	1414
PI_342139	0	3	3	7	11.6809	14	935
PI_330397	0	3	3	8	12.2017	15	975
PI_329000	0	5	5	9	14.638	18	1758
PI_328835	0	4	3	9	16.1933	19	2557
PI_342331	0	3	2	7	12.3864	15	880
PI_346387	0	3	3	7	11.1459	14	782
PI_349896	0	3	3	6	10.1244	12	973
PI_344938	0	3	2	8	14.2097	17	1883
PI_342283	0	4	3	9	16.2845	20	2986
PI_347750	0	4	3	8	14.484	17	1491
PI_350713	0	4	3	8	12.8807	16	2552
PI_356719	0	3	3	7	11.6601	14	797
PI_365547	0	3	3	6	9.99776	12	988
PI_361038	0	4	3	9	15.5383	19	1539
PI_357314	0	4	3	9	16.0444	19	1661
PI_371056	0	3	3	7	11.8123	15	729
PI_371248	0	3	3	7	10.7202	13	799
PI_362203	0	4	3	9	15.9866	19	1808
PI_361609	0	4	3	9	16.7572	20	2405
PI_382860	0	2	2	6	9.36898	12	561
PI_371390	0	4	3	9	15.7241	19	1379
PI_371490	0	4	3	9	15.2689	19	1310
PI_362207	0	4	3	10	17.6849	21	3164
PI_384986	0	3	3	7	11.9416	15	978
PI_371817	0	4	3	8	14.4102	17	3656
PI_386650	0	3	3	7	12.0619	15	1219
PI_374429	0	4	3	9	15.8267	19	1297
PI_372102	0	4	3	10	16.5622	20	2006
PI_402037	0	1	1	3	5.06593	6	497
PI_387098	0	4	3	9	15.2651	18	3390
PI_388645	0	4	3	8	14.1043	17	1811
PI_392407	0	3	3	8	13.9034	17	3771
PI_392524	0	2	2	5	7.59165	10	1631
PI_392491	0	2	2	6	9.48159	11	608
PI_390281	0	4	3	9	15.2385	18	1300
PI_392423	0	4	3	9	16.0193	19	1239
PI_392451	0	4	3	9	16.002	19	4195
