Sample name	Total reads	Percent mapped	Percent paired	Percent singletons	Fraction with mate mapped to different chr
26_PI_599621	28145589	94.11%	87.00%	0.95%	.04115330469722982169
CIho_05989	41545446	97.07%	92.50%	0.96%	.02355420615775794054
CIho_13743	20751217	98.06%	94.13%	0.63%	.02165559735604904521
CIho_14052	23219487	98.14%	94.66%	0.61%	.01818274451972173200
CIho_14216	19781838	97.27%	92.54%	0.64%	.02653130614051131143
CIho_14228	24697583	98.43%	95.24%	0.48%	.01770618606687140195
CIho_14258	25613752	98.25%	94.76%	0.55%	.01935233854064019984
CIho_14319	25559757	98.65%	95.97%	0.44%	.01444364279363062802
CIho_14394	37413990	95.41%	90.66%	0.97%	.02489651598239054428
CIho_14752	37187992	97.22%	92.69%	0.82%	.02424325572620323248
CIho_14881	26427588	98.51%	95.35%	0.46%	.01752206822658200967
CIho_15349	24444744	98.47%	95.18%	0.55%	.01806817858268427765
CIho_15362	19789137	98.00%	94.05%	0.67%	.02098130908892085592
CIho_15600	23575631	98.15%	95.00%	0.68%	.01457734047500149624
CIho_16612	26372870	98.15%	94.70%	0.60%	.01848604266429857652
Conlon	18008401	97.74%	94.00%	0.81%	.01857044387227938782
PI_039590	18526049	97.33%	92.81%	0.68%	.02605110242340393248
PI_048133	34756138	97.56%	93.42%	0.69%	.02209330622406896876
PI_054915	39143943	97.36%	92.73%	0.78%	.02575412497407325572
PI_057015	40144127	96.44%	91.24%	1.09%	.02767876855311861682
PI_057089	36259758	97.51%	93.21%	0.65%	.02354152501514213084
PI_057099	26167533	98.16%	94.92%	0.60%	.01717380083174061536
PI_061533	35176743	97.21%	92.59%	0.79%	.02476624967808986750
PI_064022	24656774	98.03%	94.40%	0.70%	.01902933449444765158
PI_069421	19043215	98.52%	95.54%	0.57%	.01646434176161955846
PI_071075	25536654	98.08%	94.75%	0.76%	.01653583903357111703
PI_087844	17681477	98.11%	94.52%	0.65%	.01838579435417075168
PI_094790	20850685	98.06%	94.59%	0.65%	.01774656324240666433
PI_094875	16334490	97.53%	93.01%	0.62%	.02488758449146560437
PI_095167	25063854	98.35%	95.14%	0.52%	.01733165218724941503
PI_119925	24140507	98.42%	95.29%	0.52%	.01655955278818294909
PI_129482	24307807	98.30%	95.10%	0.58%	.01646754888254625355
PI_135758	24896754	98.31%	95.03%	0.59%	.01753425366214406906
PI_157884	24095522	98.56%	95.37%	0.47%	.01794192298469400247
PI_163409	16663167	97.91%	94.08%	0.79%	.01944060213763686098
PI_173518	19662086	98.11%	94.66%	0.75%	.01704295261448861529
PI_174431	14572384	97.56%	93.17%	0.72%	.02476794462731698533
PI_178609	24480081	98.40%	95.37%	0.56%	.01518990071969124611
PI_181102	24305666	98.24%	94.76%	0.57%	.01912377138729710183
PI_184884	40119779	96.77%	92.07%	1.01%	.02435133054945292694
PI_189764	37494611	97.36%	93.03%	0.77%	.02328041221710501277
PI_190200	37729189	97.68%	93.62%	0.69%	.02175726597250738678
PI_190203	29286597	93.66%	86.50%	0.93%	.04177262383881609734
PI_190711	38708749	96.23%	91.29%	1.13%	.02481702521566894347
PI_190790	25065208	98.65%	95.73%	0.46%	.01590140404978885473
PI_223883	36329739	97.07%	92.32%	0.89%	.02549432023169778346
PI_227449	26831764	98.47%	95.13%	0.45%	.01924800769714581568
PI_234846	24077115	98.37%	95.16%	0.53%	.01751945779218149682
PI_264251	20529038	97.52%	90.90%	0.45%	.04300727584020254626
PI_268158	19521917	98.11%	94.59%	0.66%	.01771608802557658656
PI_268176	15600489	97.50%	92.99%	0.65%	.02357951728308003678
PI_270692	23963444	98.39%	95.15%	0.54%	.01712942430144848962
PI_274620	24367232	98.55%	95.61%	0.47%	.01567490308295993570
PI_282616	25126931	98.56%	95.68%	0.46%	.01524316678387822213
PI_283401	23806979	98.51%	95.55%	0.45%	.01573773808092156505
PI_283416	21352882	98.50%	95.34%	0.52%	.01725050510746043555
PI_283464	21595648	97.87%	94.23%	0.69%	.01885342824628369567
PI_285118	19263585	97.86%	94.39%	0.77%	.01716617130196689764
PI_285636	17268908	97.46%	93.24%	0.60%	.02251850551291372911
