Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
26_PI_599621_R1	Sanger / Illumina 1.9	126	46752136	73	47	25.853365818702574	PASS	WARN	PASS	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL
CIho_13743_R1	Sanger / Illumina 1.9	101	15991436	20	47	58.44201453520911	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
CIho_13743_R2	Sanger / Illumina 1.9	101	15991436	20	48	59.67876680918567	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	WARN	PASS	PASS
CIho_14052_R1	Sanger / Illumina 1.9	101	16925721	21	47	61.65721824901227	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
CIho_05989_R2	Sanger / Illumina 1.9	126	35054110	55	47	54.83049019676651	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	FAIL
26_PI_599621_R2	Sanger / Illumina 1.9	126	46752136	73	48	29.104601043862825	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	FAIL
CIho_05989_R1	Sanger / Illumina 1.9	126	35054110	55	47	81.31675622453024	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	FAIL
CIho_14052_R2	Sanger / Illumina 1.9	101	16925721	21	47	62.81539239549421	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	WARN	PASS	PASS
CIho_14216_R1	Sanger / Illumina 1.9	101	20764936	26	46	43.747987366234675	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
CIho_14216_R2	Sanger / Illumina 1.9	101	20764936	26	47	45.63161711971451	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
CIho_14228_R1	Sanger / Illumina 1.9	100	16372515	20	49	69.94504642701807	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
CIho_14228_R2	Sanger / Illumina 1.9	100	16372515	20	49	70.42742684298211	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
CIho_14258_R1	Sanger / Illumina 1.9	100	17274405	21	49	68.77638502618292	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
CIho_14258_R2	Sanger / Illumina 1.9	100	17274405	21	49	69.32067733431857	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
CIho_14319_R2	Sanger / Illumina 1.9	100	16471623	20	49	72.18640106149546	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
CIho_14319_R1	Sanger / Illumina 1.9	100	16471623	20	49	71.75267401515424	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
CIho_14394_R1	Sanger / Illumina 1.9	126	32271110	50	48	81.1000144693412	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
CIho_14394_R2	Sanger / Illumina 1.9	126	32271110	50	48	53.32679102008432	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	FAIL
CIho_14752_R2	Sanger / Illumina 1.9	126	32845803	51	48	51.982678819807845	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	FAIL
CIho_14881_R1	Sanger / Illumina 1.9	100	17339297	21	49	70.10858930180733	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
CIho_14881_R2	Sanger / Illumina 1.9	100	17339297	21	49	70.59490055220552	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
CIho_15349_R1	Sanger / Illumina 1.9	100	15170661	18	49	74.82724777356277	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
CIho_14752_R1	Sanger / Illumina 1.9	126	32845803	51	48	80.65756593231032	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
CIho_15349_R2	Sanger / Illumina 1.9	100	15170661	18	49	75.21647525737113	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
CIho_15362_R1	Sanger / Illumina 1.9	101	14999664	18	47	59.72271808201409	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
CIho_15362_R2	Sanger / Illumina 1.9	101	14999664	18	48	60.747032434626234	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	WARN	PASS	PASS
CIho_15600_R1	Sanger / Illumina 1.9	101	16722033	21	48	63.978703851974615	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
CIho_16612_R1	Sanger / Illumina 1.9	100	17879940	22	49	68.30732381128556	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_039590_R1	Sanger / Illumina 1.9	101	18468447	23	46	46.796298949687575	PASS	PASS	PASS	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS
CIho_16612_R2	Sanger / Illumina 1.9	100	17879940	22	49	68.79200663568842	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
CIho_15600_R2	Sanger / Illumina 1.9	101	16722033	21	48	65.3089038554451	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	WARN	PASS	PASS
PI_039590_R2	Sanger / Illumina 1.9	101	18468447	23	47	48.65064101636317	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_048133_R1	Sanger / Illumina 1.9	126	31656060	49	48	48.47897050224818	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	FAIL
PI_048133_R2	Sanger / Illumina 1.9	126	31656060	49	48	50.46168321277676	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	FAIL
PI_054915_R1	Sanger / Illumina 1.9	126	34702415	54	48	80.01559940253593	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
PI_057015_R1	Sanger / Illumina 1.9	126	35838190	56	48	79.39367744341078	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
PI_054915_R2	Sanger / Illumina 1.9	126	34702415	54	48	51.64955777589299	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	FAIL
PI_057099_R1	Sanger / Illumina 1.9	100	16730545	20	49	72.03069349703229	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_057089_R2	Sanger / Illumina 1.9	126	34174825	53	49	48.69770817833896	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	FAIL
PI_057089_R1	Sanger / Illumina 1.9	126	34174825	53	49	46.59888229688887	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	FAIL
PI_057015_R2	Sanger / Illumina 1.9	126	35838190	56	48	51.901414558048984	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	FAIL
PI_057099_R2	Sanger / Illumina 1.9	100	16730545	20	49	72.50780776248786	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
