0%	0
1%	2
2%	3
3%	4
4%	4
5%	5
6%	5
7%	6
8%	6
9%	7
10%	7
11%	7
12%	8
13%	8
14%	8
15%	9
16%	9
17%	9
18%	9
19%	10
20%	10
21%	10
22%	11
23%	11
24%	11
25%	11
26%	12
27%	12
28%	12
29%	13
30%	13
31%	13
32%	13
33%	14
34%	14
35%	14
36%	15
37%	15
38%	15
39%	16
40%	16
41%	16
42%	16
43%	17
44%	17
45%	17
46%	18
47%	18
48%	19
49%	19
50%	19
51%	20
52%	20
53%	20
54%	21
55%	21
56%	21
57%	22
58%	22
59%	22
60%	23
61%	24
62%	24
63%	25
64%	25
65%	26
66%	26
67%	27
68%	28
69%	28
70%	29
71%	30
72%	31
73%	31
74%	32
75%	33
76%	34
77%	34
78%	35
79%	35
80%	35
81%	36
82%	36
83%	37
84%	37
85%	38
86%	38
87%	39
88%	40
89%	41
90%	42
91%	43
92%	44
93%	46
94%	49
95%	54
96%	60
97%	69
98%	83
99%	112
100%	3402
