0%	0
1%	1
2%	1
3%	1
4%	2
5%	2
6%	2
7%	2
8%	2
9%	3
10%	3
11%	3
12%	3
13%	3
14%	4
15%	4
16%	4
17%	4
18%	4
19%	5
20%	5
21%	5
22%	5
23%	5
24%	5
25%	6
26%	6
27%	6
28%	6
29%	6
30%	7
31%	7
32%	7
33%	7
34%	7
35%	8
36%	8
37%	8
38%	8
39%	8
40%	9
41%	9
42%	9
43%	9
44%	10
45%	10
46%	10
47%	10
48%	11
49%	11
50%	11
51%	11
52%	12
53%	12
54%	12
55%	13
56%	13
57%	13
58%	14
59%	14
60%	14
61%	15
62%	15
63%	15
64%	16
65%	16
66%	17
67%	17
68%	18
69%	18
70%	19
71%	19
72%	20
73%	20
74%	21
75%	21
76%	22
77%	23
78%	24
79%	25
80%	26
81%	27
82%	28
83%	29
84%	30
85%	32
86%	33
87%	34
88%	35
89%	36
90%	37
91%	38
92%	39
93%	40
94%	42
95%	45
96%	49
97%	57
98%	70
99%	96
100%	3402
