0%	0
1%	1
2%	1
3%	1
4%	1
5%	2
6%	2
7%	2
8%	2
9%	2
10%	3
11%	3
12%	3
13%	3
14%	3
15%	4
16%	4
17%	4
18%	4
19%	4
20%	5
21%	5
22%	5
23%	5
24%	5
25%	5
26%	6
27%	6
28%	6
29%	6
30%	6
31%	7
32%	7
33%	7
34%	7
35%	7
36%	8
37%	8
38%	8
39%	8
40%	9
41%	9
42%	9
43%	9
44%	10
45%	10
46%	10
47%	10
48%	11
49%	11
50%	11
51%	11
52%	12
53%	12
54%	12
55%	13
56%	13
57%	13
58%	14
59%	14
60%	14
61%	15
62%	15
63%	16
64%	16
65%	17
66%	17
67%	18
68%	18
69%	19
70%	19
71%	20
72%	20
73%	21
74%	21
75%	22
76%	23
77%	23
78%	24
79%	25
80%	26
81%	27
82%	28
83%	30
84%	31
85%	33
86%	34
87%	35
88%	35
89%	36
90%	37
91%	38
92%	40
93%	41
94%	44
95%	47
96%	53
97%	61
98%	76
99%	105
100%	3889
