Loci	Variants	Theta_W	Theta_Pi	Tajimas_D
adh1	6	1.38678	1.24052	-0.235665
adh2	18	6.24944	7.58786	0.625358
adh3	78	27.4006	24.539	-0.331418
alpha-amy1	0	NA	NA	NA
cbf3	8	3.15972	4.55024	1.18579
dhn1	2	0.347452	0.675427	1.31293
dhn4	0	NA	NA	NA
dhn5	8	2.78749	4.44106	1.55422
dhn7	28	9.39866	11.6965	0.740994
dhn9	2	0.692887	1.0485	0.926238
faldh	18	4.88913	6.08344	0.697724
g3pdh	34	10.489	17.4712	2.0411
orf1	10	3.48925	4.56558	0.840244
pepc	0	0	0	NA
pepc5	0	NA	NA	NA
stk	22	8.35733	9.78633	0.513828
vrn1	8	2.10858	3.11121	1.18709
waxy	26	7.99344	11.2158	1.20489
